Point,Corner,mc_iteration,Pass/Fail,Vo
827,LOCAL,827,,1.651
828,LOCAL,828,,1.648
829,LOCAL,829,,1.652
830,LOCAL,830,,1.65
831,LOCAL,831,,1.652
832,LOCAL,832,,1.649
833,LOCAL,833,,1.648
834,LOCAL,834,,1.649
835,LOCAL,835,,1.648
836,LOCAL,836,,1.649
837,LOCAL,837,,1.654
838,LOCAL,838,,1.654
839,LOCAL,839,,1.649
840,LOCAL,840,,1.648
841,LOCAL,841,,1.65
842,LOCAL,842,,1.654
843,LOCAL,843,,1.65
844,LOCAL,844,,1.648
845,LOCAL,845,,1.651
846,LOCAL,846,,1.65
847,LOCAL,847,,1.652
848,LOCAL,848,,1.651
849,LOCAL,849,,1.649
850,LOCAL,850,,1.654
851,LOCAL,851,,1.648
852,LOCAL,852,,1.646
853,LOCAL,853,,1.65
854,LOCAL,854,,1.651
855,LOCAL,855,,1.651
856,LOCAL,856,,1.655
857,LOCAL,857,,1.648
858,LOCAL,858,,1.65
859,LOCAL,859,,1.649
860,LOCAL,860,,1.65
861,LOCAL,861,,1.647
862,LOCAL,862,,1.656
863,LOCAL,863,,1.655
864,LOCAL,864,,1.654
865,LOCAL,865,,1.648
866,LOCAL,866,,1.65
867,LOCAL,867,,1.649
868,LOCAL,868,,1.645
869,LOCAL,869,,1.657
870,LOCAL,870,,1.646
871,LOCAL,871,,1.646
872,LOCAL,872,,1.649
873,LOCAL,873,,1.652
874,LOCAL,874,,1.651
875,LOCAL,875,,1.652
876,LOCAL,876,,1.65
877,LOCAL,877,,1.649
878,LOCAL,878,,1.652
879,LOCAL,879,,1.647
880,LOCAL,880,,1.654
881,LOCAL,881,,1.649
882,LOCAL,882,,1.651
883,LOCAL,883,,1.647
884,LOCAL,884,,1.652
885,LOCAL,885,,1.649
886,LOCAL,886,,1.648
887,LOCAL,887,,1.649
888,LOCAL,888,,1.65
889,LOCAL,889,,1.648
890,LOCAL,890,,1.648
891,LOCAL,891,,1.647
892,LOCAL,892,,1.653
893,LOCAL,893,,1.65
894,LOCAL,894,,1.651
895,LOCAL,895,,1.648
896,LOCAL,896,,1.653
897,LOCAL,897,,1.65
898,LOCAL,898,,1.652
899,LOCAL,899,,1.655
900,LOCAL,900,,1.652
901,LOCAL,901,,1.652
902,LOCAL,902,,1.643
903,LOCAL,903,,1.653
904,LOCAL,904,,1.649
905,LOCAL,905,,1.651
906,LOCAL,906,,1.644
907,LOCAL,907,,1.649
908,LOCAL,908,,1.651
909,LOCAL,909,,1.651
910,LOCAL,910,,1.653
911,LOCAL,911,,1.648
912,LOCAL,912,,1.649
913,LOCAL,913,,1.649
914,LOCAL,914,,1.652
915,LOCAL,915,,1.647
916,LOCAL,916,,1.648
917,LOCAL,917,,1.654
918,LOCAL,918,,1.655
919,LOCAL,919,,1.647
920,LOCAL,920,,1.649
921,LOCAL,921,,1.651
922,LOCAL,922,,1.649
923,LOCAL,923,,1.647
924,LOCAL,924,,1.651
