Point,Corner,mc_iteration,Pass/Fail,Vo
688,LOCAL,688,,772.8e-3
689,LOCAL,689,,766.9e-3
690,LOCAL,690,,772.7e-3
691,LOCAL,691,,764.3e-3
692,LOCAL,692,,770.3e-3
693,LOCAL,693,,763.8e-3
694,LOCAL,694,,762.5e-3
695,LOCAL,695,,765.9e-3
696,LOCAL,696,,774.6e-3
697,LOCAL,697,,766.1e-3
698,LOCAL,698,,763.1e-3
699,LOCAL,699,,771.4e-3
700,LOCAL,700,,767e-3
701,LOCAL,701,,763.4e-3
702,LOCAL,702,,769.6e-3
703,LOCAL,703,,768.5e-3
704,LOCAL,704,,770.6e-3
705,LOCAL,705,,771.8e-3
706,LOCAL,706,,764.3e-3
707,LOCAL,707,,770.2e-3
708,LOCAL,708,,768.4e-3
709,LOCAL,709,,761.3e-3
710,LOCAL,710,,765.6e-3
711,LOCAL,711,,765.9e-3
712,LOCAL,712,,764.5e-3
713,LOCAL,713,,764.7e-3
714,LOCAL,714,,762.9e-3
715,LOCAL,715,,775.6e-3
716,LOCAL,716,,767.8e-3
717,LOCAL,717,,765.6e-3
718,LOCAL,718,,763.9e-3
719,LOCAL,719,,772e-3
720,LOCAL,720,,765.5e-3
721,LOCAL,721,,768.1e-3
722,LOCAL,722,,762.9e-3
723,LOCAL,723,,765.6e-3
724,LOCAL,724,,764.4e-3
725,LOCAL,725,,767.2e-3
726,LOCAL,726,,763.5e-3
727,LOCAL,727,,768.2e-3
728,LOCAL,728,,773.4e-3
729,LOCAL,729,,760e-3
730,LOCAL,730,,766.7e-3
731,LOCAL,731,,763.9e-3
732,LOCAL,732,,773e-3
733,LOCAL,733,,774.2e-3
734,LOCAL,734,,766.1e-3
735,LOCAL,735,,767.5e-3
736,LOCAL,736,,768e-3
737,LOCAL,737,,767.3e-3
738,LOCAL,738,,764.4e-3
739,LOCAL,739,,781.5e-3
740,LOCAL,740,,774.4e-3
741,LOCAL,741,,771.1e-3
742,LOCAL,742,,767.4e-3
743,LOCAL,743,,760.9e-3
744,LOCAL,744,,765.1e-3
745,LOCAL,745,,770.7e-3
746,LOCAL,746,,769.9e-3
747,LOCAL,747,,759.6e-3
748,LOCAL,748,,768.4e-3
